qseqid,sseqid,slen,qlen,length,s_cov,scov_filt,qcov,qcov_filt,pident,p_ident_cutoff,evalue,score,qstart,qend,sstart,send,gaps,positive
373153.SPD_0597,DEG10340265,226,213,201,0.889380531,no,0.943661972,no,37.313,no,1.77E-37,324,1,194,3,202,8,122
373153.SPD_0598,DEG10070140,450,450,450,1,yes,1,yes,100,yes,0,2358,1,450,1,450,0,450
373153.SPD_0599,DEG10070141,352,352,352,1,yes,1,yes,100,yes,0,1862,1,352,1,352,0,352
373153.SPD_0600,DEG10380172,382,396,397,1.039267016,yes,1.002525253,yes,32.494,no,6.69E-46,407,1,396,1,368,30,211
373153.SPD_0603,DEG10600367,450,265,63,0.14,no,0.237735849,no,30.159,no,1.8,64,81,132,4,59,18,27
373153.SPD_0604,DEG10390043,249,337,159,0.638554217,no,0.471810089,no,31.447,no,1.72E-12,159,3,154,55,206,14,82
373153.SPD_0608,DEG10610270,230,233,226,0.982608696,yes,0.969957082,yes,56.195,no,8.39E-89,667,6,228,5,228,5,167
373153.SPD_0609,DEG10640289,203,210,201,0.990147783,yes,0.957142857,yes,56.716,no,2.02E-77,587,3,203,1,201,0,147
373153.SPD_0611,DEG10020294,496,254,46,0.092741935,no,0.181102362,no,39.13,no,3.1,62,144,188,399,444,1,24
373153.SPD_0613,DEG10590221,305,234,52,0.170491803,no,0.222222222,no,30.769,no,4.2,60,151,202,155,206,0,22
373153.SPD_0614,DEG10610254,290,215,202,0.696551724,no,0.939534884,no,32.178,no,5.57E-28,265,7,207,3,195,10,104
373153.SPD_0616,DEG10580302,244,252,241,0.987704918,yes,0.956349206,yes,49.378,no,1.18E-84,643,1,241,1,241,0,174
373153.SPD_0617,DEG10080217,223,225,218,0.977578475,yes,0.968888889,yes,49.541,no,2.60E-58,464,8,225,3,220,0,158
373153.SPD_0618,DEG10110116,222,226,171,0.77027027,no,0.756637168,no,35.088,no,4.70E-29,269,4,174,6,176,0,98
373153.SPD_0619,DEG10280483,432,48,40,0.092592593,no,0.833333333,no,37.5,no,2,52,9,41,195,234,7,19
373153.SPD_0620,DEG10070142,496,496,496,1,yes,1,yes,100,yes,0,2636,1,496,1,496,0,496
373153.SPD_0621,DEG10270121,396,378,372,0.939393939,no,0.984126984,yes,26.075,no,5.15E-31,303,24,354,16,373,55,167
373153.SPD_0622,DEG10400341,1190,222,118,0.099159664,no,0.531531532,no,30.508,no,0.5,68,5,122,1084,1188,13,51
373153.SPD_0623,DEG10020040,818,260,121,0.14792176,no,0.465384615,no,24.793,no,0.021,80,142,256,616,722,20,47
373153.SPD_0624,DEG10050143,226,209,219,0.969026549,yes,1.04784689,yes,42.009,no,1.50E-54,438,4,209,5,223,13,145
373153.SPD_0625,DEG10270018,979,186,74,0.075587334,no,0.397849462,no,31.081,no,1.2,64,90,162,115,179,10,38
373153.SPD_0626,DEG10580099,284,461,213,0.75,no,0.462039046,no,33.803,no,1.02E-28,284,26,226,33,245,12,113
373153.SPD_0626,DEG10580099,284,461,201,0.707746479,no,0.436008677,no,25.871,no,2.08E-14,177,251,427,13,213,24,97
373153.SPD_0627,DEG10680223,317,216,98,0.309148265,no,0.453703704,no,29.592,no,0.01,81,123,210,173,266,14,51
373153.SPD_0628,DEG10220063,447,230,39,0.087248322,no,0.169565217,no,30.769,no,2.7,62,47,85,296,334,0,23
373153.SPD_0629,DEG10330112,456,174,112,0.245614035,no,0.643678161,no,27.679,no,0.46,66,67,167,170,278,14,44
373153.SPD_0630,DEG10450013,624,267,66,0.105769231,no,0.247191011,no,36.364,no,0.42,70,173,237,179,240,5,30
373153.SPD_0631,DEG10400269,343,210,199,0.580174927,no,0.947619048,no,34.171,no,1.07E-29,279,7,205,149,343,4,105
373153.SPD_0632,DEG10490119,270,263,256,0.948148148,no,0.97338403,yes,42.578,no,6.90E-68,535,4,258,9,262,3,161
373153.SPD_0633,DEG10130115,221,131,62,0.280542986,no,0.473282443,no,27.419,no,2.4,58,70,130,18,76,4,32
373153.SPD_0634,DEG10580105,817,123,69,0.084455324,no,0.56097561,no,30.435,no,0.033,73,38,106,118,185,1,29
373153.SPD_0635,DEG10020292,802,747,708,0.882793017,no,0.947791165,no,43.362,no,0,1410,68,747,110,796,49,441
373153.SPD_0636,DEG10570021,585,591,552,0.943589744,no,0.934010152,no,27.355,no,2.60E-56,505,5,535,18,556,34,244
373153.SPD_0637,DEG10290172,459,115,25,0.054466231,no,0.217391304,no,52,no,2.6,58,70,94,434,456,2,17
373153.SPD_0638,DEG10570445,407,217,82,0.201474201,no,0.377880184,no,25.61,no,0.25,70,96,171,20,99,8,37
373153.SPD_0641,DEG10020296,312,314,312,1,yes,0.993630573,yes,55.769,no,9.78E-121,893,5,314,3,311,5,224
373153.SPD_0642,DEG10470165,445,461,414,0.930337079,no,0.898047722,no,50.242,no,1.44E-121,927,44,452,2,413,7,291
373153.SPD_0644,DEG10470230,147,151,81,0.551020408,no,0.536423841,no,37.037,no,1.57E-09,125,16,95,14,94,1,47
373153.SPD_0645,DEG10070037,391,391,391,1,yes,1,yes,100,yes,0,2050,1,391,1,391,0,391
373153.SPD_0646,DEG10140138,288,281,186,0.645833333,no,0.661921708,no,25.806,no,5.69E-04,92,28,207,26,199,18,82
373153.SPD_0647,DEG10580078,134,185,88,0.656716418,no,0.475675676,no,63.636,no,4.39E-25,232,1,88,1,88,0,74
373153.SPD_0648,DEG10390226,151,155,147,0.973509934,yes,0.948387097,no,35.374,no,4.21E-23,217,1,146,8,150,5,83
373153.SPD_0649,DEG10020233,209,216,209,1,yes,0.967592593,yes,71.77,no,5.47E-112,815,8,216,1,209,0,177
373153.SPD_0650,DEG10380047,196,196,195,0.994897959,yes,0.994897959,yes,90.769,no,1.47E-123,887,1,195,1,195,0,188
373153.SPD_0651,DEG10340134,77,82,50,0.649350649,no,0.609756098,no,34,no,0.52,58,8,57,29,74,4,25
373153.SPD_0652,DEG10580205,389,386,387,0.994858612,yes,1.002590674,yes,56.848,no,2.15E-147,1084,3,384,4,386,9,294
373153.SPD_0653,DEG10580335,295,289,295,1,yes,1.020761246,yes,77.288,no,1.04E-151,1093,1,289,1,295,6,261
373153.SPD_0654,DEG10580204,315,318,313,0.993650794,yes,0.98427673,yes,70.927,no,2.75E-149,1082,1,313,1,313,0,269
373153.SPD_0655,DEG10580334,254,254,254,1,yes,1,yes,85.039,no,9.87E-158,1124,1,254,1,254,0,237
373153.SPD_0656,DEG10580203,236,236,236,1,yes,1,yes,87.288,no,8.75E-153,1088,1,236,1,236,0,227
373153.SPD_0657,DEG10570254,165,218,136,0.824242424,no,0.623853211,no,28.676,no,9.53E-09,124,1,130,1,126,16,70
373153.SPD_0658,DEG10070038,364,329,329,0.903846154,no,1,yes,98.784,yes,0,1746,1,329,36,364,0,328
373153.SPD_0659,DEG10070144,230,230,230,1,yes,1,yes,100,yes,1.33E-169,1197,1,230,1,230,0,230
373153.SPD_0660,DEG10210095,308,308,308,1,yes,1,yes,73.377,no,5.95E-159,1144,1,308,1,308,0,261
373153.SPD_0661,DEG10020290,688,726,701,1.018895349,yes,0.965564738,yes,33.951,no,1.16E-108,884,16,700,10,664,62,373
373153.SPD_0662,DEG10360081,245,271,218,0.889795918,no,0.804428044,no,26.147,no,0.002,87,1,212,6,197,32,93
373153.SPD_0663,DEG10070145,447,447,447,1,yes,1,yes,100,yes,0,2366,1,447,1,447,0,447
373153.SPD_0664,DEG10070146,396,396,396,1,yes,1,yes,100,yes,0,2073,1,396,1,396,0,396
373153.SPD_0665,DEG10400072,378,311,247,0.653439153,no,0.794212219,no,26.721,no,6.22E-10,141,46,277,101,344,18,105
373153.SPD_0666,DEG10210069,348,345,342,0.982758621,yes,0.991304348,yes,68.421,no,1.55E-169,1222,1,342,1,342,0,284
373153.SPD_0667,DEG10580202,201,201,201,1,yes,1,yes,84.08,no,8.44E-125,897,1,201,1,201,0,183
373153.SPD_0668,DEG10270421,431,176,28,0.064965197,no,0.159090909,no,42.857,no,6,58,55,82,164,191,0,17
373153.SPD_0669,DEG10290284,373,361,362,0.970509383,yes,1.002770083,yes,38.95,no,5.30E-80,634,2,358,5,360,11,214
373153.SPD_0670,DEG10110196,404,143,57,0.141089109,no,0.398601399,no,31.579,no,0.024,75,56,112,96,152,0,29
373153.SPD_0671,DEG10470501,517,513,509,0.984526112,yes,0.992202729,yes,54.028,no,0,1508,1,508,1,508,2,378
373153.SPD_0671,DEG10470501,517,513,230,0.444874275,no,0.44834308,no,27.391,no,9.42E-17,202,3,232,325,510,44,101
373153.SPD_0672,DEG10600387,164,267,188,1.146341463,yes,0.70411985,no,37.766,no,5.30E-27,253,76,259,2,162,31,91
373153.SPD_0674,DEG10210127,90,90,90,1,yes,1,yes,95.556,yes,1.14E-61,459,1,90,1,90,0,88
373153.SPD_0675,DEG10580108,80,79,79,0.9875,yes,1,yes,88.608,no,5.64E-46,354,1,79,1,79,0,75
373153.SPD_0678,DEG10070039,172,172,172,1,yes,1,yes,98.837,yes,3.62E-123,880,1,172,1,172,0,171
373153.SPD_0679,DEG10070040,239,239,239,1,yes,1,yes,99.582,yes,1.16E-178,1258,1,239,1,239,0,238
373153.SPD_0680,DEG10240126,995,112,109,0.109547739,no,0.973214286,yes,34.862,no,2.46E-09,125,2,104,39,147,6,55
373153.SPD_0681,DEG10580304,107,106,102,0.953271028,yes,0.962264151,yes,37.255,no,2.15E-19,185,1,99,1,102,3,63
373153.SPD_0684,DEG10560738,457,178,89,0.194748359,no,0.5,no,32.584,no,1.7,62,31,117,146,225,11,41
373153.SPD_0685,DEG10180527,450,448,448,0.995555556,yes,1,yes,61.161,no,0,1374,2,448,3,450,1,332
373153.SPD_0686,DEG10470476,397,399,395,0.994962217,yes,0.989974937,yes,25.57,no,1.72E-25,264,7,393,11,395,18,180
373153.SPD_0687,DEG10340265,226,233,218,0.96460177,yes,0.935622318,no,52.752,no,3.63E-82,622,4,221,3,220,0,157
373153.SPD_0688,DEG10230063,406,419,443,1.091133005,yes,1.057279236,yes,30.7,no,1.68E-48,429,4,419,7,406,70,205
373153.SPD_0689,DEG10210150,666,665,667,1.001501502,yes,1.003007519,yes,88.156,no,0,3151,1,665,1,666,3,629
373153.SPD_0691,DEG10550371,328,106,45,0.137195122,no,0.424528302,no,35.556,no,0.027,71,33,77,15,53,6,24
373153.SPD_0692,DEG10050516,191,291,31,0.162303665,no,0.10652921,no,45.161,no,0.87,66,14,44,27,57,0,18
373153.SPD_0693,DEG10110137,332,308,313,0.942771084,no,1.016233766,yes,25.559,no,3.83E-16,188,1,299,13,324,15,139
373153.SPD_0694,DEG10580336,78,85,78,1,yes,0.917647059,no,91.026,no,1.01E-49,379,8,85,1,78,0,73
373153.SPD_0695,DEG10540061,244,232,250,1.024590164,yes,1.077586207,yes,32,no,3.75E-32,292,2,232,5,244,29,130
373153.SPD_0696,DEG10470230,147,159,70,0.476190476,no,0.440251572,no,37.143,no,8.43E-06,99,10,77,8,76,3,37
373153.SPD_0698,DEG10570227,850,289,180,0.211764706,no,0.62283737,no,25.556,no,1.51E-08,131,89,260,639,816,10,80
373153.SPD_0699,DEG10050482,441,146,45,0.102040816,no,0.308219178,no,35.556,no,0.092,70,47,91,56,100,0,27
373153.SPD_0700,DEG10050582,869,848,453,0.521288838,no,0.534198113,no,24.724,no,3.21E-20,236,17,449,20,451,41,204
373153.SPD_0701,DEG10380148,224,246,222,0.991071429,yes,0.902439024,no,84.685,no,1.72E-135,974,23,244,1,222,0,203
373153.SPD_0702,DEG10580170,449,444,235,0.523385301,no,0.529279279,no,34.894,no,2.06E-31,311,215,432,207,429,29,131
373153.SPD_0703,DEG10600486,424,95,22,0.051886792,no,0.231578947,no,59.091,no,0.23,64,40,61,29,50,0,18
373153.SPD_0704,DEG10580303,309,356,310,1.003236246,yes,0.870786517,no,70.645,no,1.44E-164,1186,48,356,1,309,2,260
373153.SPD_0705,DEG10010135,1437,816,172,0.119693807,no,0.210784314,no,39.535,no,3.64E-27,296,8,176,421,590,5,95
373153.SPD_0706,DEG10070041,407,407,407,1,yes,1,yes,100,yes,0,2074,1,407,1,407,0,407
373153.SPD_0707,DEG10340414,183,184,169,0.923497268,no,0.918478261,no,43.195,no,2.40E-37,317,1,165,1,168,5,100
373153.SPD_0708,DEG10470458,216,187,188,0.87037037,no,1.005347594,yes,26.596,no,2.47E-06,106,1,172,1,178,26,85
373153.SPD_0709,DEG10070042,648,648,648,1,yes,1,yes,100,yes,0,3450,1,648,1,648,0,648
373153.SPD_0710,DEG10070043,575,575,575,1,yes,1,yes,99.826,yes,0,2998,1,575,1,575,0,575
373153.SPD_0711,DEG10200005,490,117,56,0.114285714,no,0.478632479,no,32.143,no,5.1,55,11,66,360,411,4,31
373153.SPD_0714,DEG10570129,264,99,52,0.196969697,no,0.525252525,no,30.769,no,3,56,8,59,210,261,0,26
373153.SPD_0715,DEG10030472,132,140,57,0.431818182,no,0.407142857,no,40.351,no,6.99E-08,112,11,62,7,63,5,35
373153.SPD_0716,DEG10680024,557,115,23,0.041292639,no,0.2,no,52.174,no,2.1,58,40,62,28,50,0,15
373153.SPD_0717,DEG10020040,818,752,622,0.760391198,no,0.82712766,no,54.823,no,0,1704,113,718,163,783,17,451
373153.SPD_0718,DEG10050604,283,76,25,0.088339223,no,0.328947368,no,48,no,1.1,57,46,70,14,38,0,15
373153.SPD_0719,DEG10580257,521,227,219,0.420345489,no,0.964757709,yes,42.466,no,9.09E-44,386,16,220,295,501,26,128
373153.SPD_0720,DEG10580302,244,244,244,1,yes,1,yes,82.787,no,3.14E-150,1073,1,244,1,244,0,227
373153.SPD_0721,DEG10070147,306,292,292,0.954248366,yes,1,yes,99.658,yes,0,1525,1,292,15,306,0,292
373153.SPD_0723,DEG10580183,224,227,224,1,yes,0.986784141,yes,67.857,no,1.74E-107,788,1,224,1,224,0,180
373153.SPD_0724,DEG10580329,403,403,403,1,yes,1,yes,82.134,no,0,1799,1,403,1,403,0,366
373153.SPD_0726,DEG10570223,403,269,72,0.17866005,no,0.267657993,no,25,no,0.15,73,97,168,85,152,4,33
373153.SPD_0727,DEG10550395,759,243,74,0.097496706,no,0.304526749,no,33.784,no,2.9,62,28,98,179,252,3,34
373153.SPD_0729,DEG10290113,499,170,37,0.074148297,no,0.217647059,no,40.541,no,0.14,70,120,154,44,80,2,23
373153.SPD_0730,DEG10140253,232,236,236,1.017241379,yes,1,yes,40.254,no,3.54E-51,418,1,231,1,230,11,153
373153.SPD_0731,DEG10130273,227,174,23,0.101321586,no,0.132183908,no,69.565,no,0.005,81,3,25,6,28,0,18
373153.SPD_0732,DEG10580136,77,78,77,1,yes,0.987179487,yes,97.403,yes,1.05E-47,365,1,77,1,77,0,77
373153.SPD_0733,DEG10070044,306,306,306,1,yes,1,yes,99.346,yes,0,1612,1,306,1,306,0,305
373153.SPD_0735,DEG10140029,230,196,91,0.395652174,no,0.464285714,no,36.264,no,1.58E-11,145,61,150,78,164,5,54
373153.SPD_0736,DEG10130296,349,425,142,0.406876791,no,0.334117647,no,26.056,no,0.018,83,15,151,15,152,9,65
373153.SPD_0737,DEG10580135,220,220,220,1,yes,1,yes,73.636,no,8.53E-120,868,1,220,1,220,0,192
373153.SPD_0738,DEG10060038,130,129,112,0.861538462,no,0.868217054,no,39.286,no,2.60E-25,228,15,125,17,127,2,68
373153.SPD_0739,DEG10460041,181,350,35,0.193370166,no,0.1,no,45.714,no,1.2,65,237,271,37,70,1,21
373153.SPD_0740,DEG10470327,510,511,499,0.978431373,yes,0.976516634,yes,68.337,no,0,1739,4,502,2,500,0,401
373153.SPD_0741,DEG10580134,353,352,353,1,yes,1.002840909,yes,69.972,no,1.30E-180,1296,1,352,1,353,1,297
373153.SPD_0742,DEG10680151,311,318,317,1.019292605,yes,0.996855346,yes,30.599,no,1.81E-22,234,16,316,15,308,39,152
373153.SPD_0745,DEG10070148,213,213,213,1,yes,1,yes,100,yes,5.70E-150,1064,1,213,1,213,0,213
373153.SPD_0746,DEG10070149,647,647,647,1,yes,1,yes,100,yes,0,3421,1,647,1,647,0,647
373153.SPD_0748,DEG10210122,816,826,817,1.00122549,yes,0.989104116,yes,85.19,no,0,3685,4,819,1,816,2,763
373153.SPD_0749,DEG10280114,359,340,340,0.947075209,no,1,yes,40.294,no,7.82E-76,603,8,339,24,358,13,188
373153.SPD_0751,DEG10470437,441,229,207,0.469387755,no,0.903930131,no,23.671,no,0.87,66,13,213,245,437,20,87
373153.SPD_0752,DEG10470362,439,307,179,0.407744875,no,0.583061889,no,26.257,no,1.6,65,107,281,243,410,15,85
373153.SPD_0753,DEG10270018,979,214,79,0.080694586,no,0.369158879,no,30.38,no,0.041,77,128,197,257,335,9,35
373153.SPD_0754,DEG10580106,77,76,76,0.987012987,yes,1,yes,71.053,no,8.13E-31,254,1,75,1,76,1,63
373153.SPD_0757,DEG10580107,401,400,401,1,yes,1.0025,yes,86.783,no,0,1726,1,400,1,401,1,372
373153.SPD_0759,DEG10070045,165,165,165,1,yes,1,yes,99.394,yes,4.36E-121,865,1,165,1,165,0,164
373153.SPD_0760,DEG10070046,551,551,551,1,yes,1,yes,99.456,yes,0,2920,1,551,1,551,0,548
373153.SPD_0761,DEG10560580,79,64,28,0.35443038,no,0.4375,no,39.286,no,1.5,53,1,28,1,28,0,16
373153.SPD_0762,DEG10650171,253,256,248,0.980237154,yes,0.96875,yes,75.806,no,2.93E-138,997,2,249,3,250,0,219
373153.SPD_0763,DEG10010235,437,420,428,0.979405034,yes,1.019047619,yes,42.29,no,6.83E-117,891,3,417,11,436,15,275
373153.SPD_0764,DEG10010234,406,408,409,1.007389163,yes,1.00245098,yes,60.636,no,0,1368,2,408,1,406,5,318
373153.SPD_0765,DEG10010233,147,146,141,0.959183673,yes,0.965753425,yes,49.645,no,1.79E-45,364,4,144,5,144,1,96
373153.SPD_0766,DEG10580255,471,470,471,1,yes,1.00212766,yes,89.597,no,0,2286,1,470,1,471,1,450
373153.SPD_0767,DEG10670137,391,413,348,0.890025575,no,0.842615012,no,27.586,no,5.82E-33,318,27,367,37,353,38,173
373153.SPD_0771,DEG10290392,256,246,211,0.82421875,no,0.857723577,no,36.493,no,9.82E-29,270,5,211,8,213,9,120
373153.SPD_0772,DEG10470315,303,303,303,1,yes,1,yes,50.825,no,1.66E-105,791,1,303,1,303,0,211
373153.SPD_0773,DEG10470314,618,650,654,1.058252427,yes,1.006153846,yes,48.777,no,0,1496,1,647,1,615,46,432
373153.SPD_0774,DEG10420247,816,767,795,0.974264706,yes,1.036505867,yes,69.434,no,0,2707,11,765,16,809,41,624
373153.SPD_0775,DEG10470251,795,177,103,0.129559748,no,0.581920904,no,23.301,no,1.4,63,77,177,51,151,4,46
373153.SPD_0776,DEG10010191,379,380,364,0.960422164,yes,0.957894737,yes,38.187,no,2.79E-76,612,2,363,4,365,4,202
373153.SPD_0777,DEG10140285,379,404,363,0.957783641,yes,0.898514851,no,38.292,no,1.58E-77,622,1,362,1,354,10,211
373153.SPD_0778,DEG10410350,204,274,81,0.397058824,no,0.295620438,no,24.691,no,0.29,70,117,197,71,132,19,32
373153.SPD_0779,DEG10180239,316,111,31,0.098101266,no,0.279279279,no,32.258,no,2,58,7,37,253,283,0,16
373153.SPD_0780,DEG10070150,135,134,134,0.992592593,yes,1,yes,100,yes,3.38E-100,721,1,134,2,135,0,134
373153.SPD_0781,DEG10430441,286,388,156,0.545454545,no,0.402061856,no,25.641,no,3.84E-06,111,41,195,24,161,19,69
373153.SPD_0782,DEG10580233,529,497,331,0.625708885,no,0.665995976,no,27.19,no,5.08E-27,283,154,458,181,485,52,157
373153.SPD_0783,DEG10230312,175,203,109,0.622857143,no,0.536945813,no,32.11,no,7.91E-06,102,57,164,72,169,12,53
373153.SPD_0784,DEG10020066,663,1116,90,0.135746606,no,0.080645161,no,27.778,no,0.005,92,339,428,10,94,5,40
373153.SPD_0784,DEG10020066,663,1116,46,0.069381599,no,0.041218638,no,32.609,no,5.9,67,671,711,502,547,5,23
373153.SPD_0786,DEG10540110,145,156,145,1,yes,0.929487179,no,30.345,no,4.97E-12,142,1,140,1,136,14,73
373153.SPD_0787,DEG10100180,561,757,188,0.335115865,no,0.248348745,no,23.404,no,0.64,73,276,461,124,274,39,72
373153.SPD_0788,DEG10070048,1042,1033,1033,0.991362764,yes,1,yes,99.419,yes,0,5458,1,1033,10,1042,0,1029
373153.SPD_0789,DEG10070151,335,335,335,1,yes,1,yes,100,yes,0,1728,1,335,1,335,0,335
373153.SPD_0790,DEG10070152,501,501,501,1,yes,1,yes,100,yes,0,2615,1,501,1,501,0,501
373153.SPD_0792,DEG10440119,375,290,70,0.186666667,no,0.24137931,no,28.571,no,1.2,66,49,112,41,110,6,32
373153.SPD_0795,DEG10340032,238,103,44,0.18487395,no,0.427184466,no,31.818,no,1.7,58,61,103,133,176,1,23
373153.SPD_0796,DEG10470158,286,238,60,0.20979021,no,0.25210084,no,33.333,no,0.021,79,37,95,63,122,1,35
373153.SPD_0797,DEG10110032,427,271,25,0.058548009,no,0.092250923,no,56,no,4.5,61,127,151,229,252,1,19
373153.SPD_0798,DEG10470184,298,301,292,0.979865772,yes,0.970099668,yes,47.26,no,8.67E-80,620,6,297,5,293,3,196
373153.SPD_0802,DEG10050181,762,709,716,0.939632546,no,1.009873061,yes,44.972,no,0,1428,8,702,10,719,27,441
373153.SPD_0804,DEG10580124,250,252,245,0.98,yes,0.972222222,yes,58.367,no,2.34E-104,773,3,247,2,246,0,190
373153.SPD_0805,DEG10070049,662,662,662,1,yes,1,yes,95.166,yes,0,3274,1,662,1,662,0,645
373153.SPD_0809,DEG10510210,359,491,267,0.743732591,no,0.543788187,no,22.097,no,4.15E-07,121,69,318,37,294,26,107
373153.SPD_0811,DEG10520411,747,286,138,0.184738956,no,0.482517483,no,22.464,no,0.065,77,49,184,178,298,19,55
373153.SPD_0812,DEG10500049,401,419,413,1.029925187,yes,0.985680191,yes,60.291,no,0,1374,1,413,1,394,19,308
373153.SPD_0813,DEG10500326,382,375,384,1.005235602,yes,1.024,yes,40.885,no,1.35E-111,846,1,373,1,381,14,240
373153.SPD_0814,DEG10280137,332,361,358,1.078313253,yes,0.991689751,yes,35.754,no,5.35E-64,524,10,360,4,330,38,181
373153.SPD_0815,DEG10200033,292,291,290,0.993150685,yes,0.996563574,yes,48.621,no,8.77E-102,764,2,290,3,287,6,193
373153.SPD_0818,DEG10420213,301,302,296,0.983388704,yes,0.98013245,yes,68.919,no,5.87E-152,1097,1,296,1,296,0,246
373153.SPD_0819,DEG10510401,169,153,151,0.893491124,no,0.986928105,yes,34.437,no,9.09E-21,203,10,153,15,165,7,84
373153.SPD_0820,DEG10140111,296,295,292,0.986486486,yes,0.989830508,yes,46.575,no,6.69E-80,620,11,290,11,294,20,183
373153.SPD_0821,DEG10140275,631,627,100,0.158478605,no,0.159489633,no,26,no,0.15,78,38,137,12,96,15,45
373153.SPD_0822,DEG10580305,358,369,358,1,yes,0.970189702,yes,58.659,no,2.22E-147,1079,1,358,1,358,0,277
373153.SPD_0823,DEG10580349,412,420,420,1.019417476,yes,1,yes,64.524,no,0,1404,1,419,1,412,9,326
373153.SPD_0824,DEG10580306,261,265,265,1.01532567,yes,1,yes,49.434,no,5.26E-80,615,1,265,1,260,5,181
373153.SPD_0825,DEG10210152,212,212,209,0.985849057,yes,0.985849057,yes,74.163,no,6.24E-112,815,1,209,1,209,0,179
373153.SPD_0826,DEG10070050,296,296,296,1,yes,1,yes,98.986,yes,0,1520,1,296,1,296,0,294
373153.SPD_0827,DEG10580090,105,105,105,1,yes,1,yes,60,no,7.30E-41,326,1,105,1,105,0,80
373153.SPD_0828,DEG10020030,279,289,273,0.978494624,yes,0.944636678,no,45.421,no,5.34E-69,546,16,283,4,276,5,167
373153.SPD_0829,DEG10190245,357,172,53,0.148459384,no,0.308139535,no,26.415,no,1.1,63,3,55,225,277,0,26
373153.SPD_0830,DEG10400430,479,129,33,0.068893528,no,0.255813953,no,33.333,no,0.86,62,44,76,366,398,0,21
373153.SPD_0832,DEG10450199,514,129,70,0.13618677,no,0.542635659,no,25.714,no,4.4,57,30,94,8,67,15,32
373153.SPD_0834,DEG10070153,247,245,245,0.991902834,yes,1,yes,100,yes,0,1278,1,245,3,247,0,245
373153.SPD_0835,DEG10070051,185,185,185,1,yes,1,yes,97.838,yes,1.76E-130,930,1,185,1,185,0,184
373153.SPD_0836,DEG10520077,556,297,65,0.116906475,no,0.218855219,no,35.385,no,0.29,72,172,227,457,521,9,34
373153.SPD_0837,DEG10580325,71,71,71,1,yes,1,yes,70.423,no,6.70E-35,280,1,71,1,71,0,63
373153.SPD_0838,DEG10430373,340,322,306,0.9,no,0.950310559,yes,47.059,no,9.66E-92,705,20,314,1,301,16,204
373153.SPD_0839,DEG10180358,153,166,85,0.555555556,no,0.512048193,no,22.353,no,0.097,70,59,143,46,129,1,39
373153.SPD_0840,DEG10280523,356,75,30,0.084269663,no,0.4,no,26.667,no,1.5,56,37,66,66,95,0,19
373153.SPD_0842,DEG10030610,178,189,175,0.983146067,yes,0.925925926,no,24,no,3.12E-10,134,14,183,3,174,8,87
373153.SPD_0843,DEG10070154,216,216,216,1,yes,1,yes,100,yes,4.41E-153,1085,1,216,1,216,0,216
373153.SPD_0844,DEG10050028,788,746,702,0.890862944,no,0.941018767,no,23.077,no,3.80E-22,251,109,733,114,758,134,277
373153.SPD_0845,DEG10610254,290,158,152,0.524137931,no,0.962025316,yes,34.868,no,6.59E-18,190,2,146,1,151,8,81
373153.SPD_0846,DEG10550166,321,393,82,0.255451713,no,0.208651399,no,29.268,no,1.3,67,75,156,219,296,4,40
373153.SPD_0847,DEG10070155,195,185,185,0.948717949,no,1,yes,99.459,yes,8.51E-133,947,1,185,11,195,0,185
373153.SPD_0848,DEG10420217,66,66,66,1,yes,1,yes,93.939,no,3.55E-39,307,1,66,1,66,0,65
373153.SPD_0849,DEG10420216,119,119,119,1,yes,1,yes,98.319,yes,1.41E-81,596,1,119,1,119,0,118
373153.SPD_0850,DEG10390046,134,126,132,0.985074627,yes,1.047619048,yes,21.97,no,0.007,76,3,126,4,134,9,52
373153.SPD_0851,DEG10520151,243,266,182,0.748971193,no,0.684210526,no,27.473,no,6.28E-09,130,44,207,37,217,19,79
373153.SPD_0852,DEG10400072,378,312,314,0.830687831,no,1.006410256,yes,27.389,no,8.54E-15,179,5,300,59,367,23,141
373153.SPD_0853,DEG10470217,472,702,142,0.300847458,no,0.202279202,no,37.324,no,1.56E-18,218,554,694,219,359,2,84
373153.SPD_0854,DEG10500070,435,551,251,0.577011494,no,0.45553539,no,25.1,no,1.34E-08,135,307,541,215,435,46,116
373153.SPD_0854,DEG10500070,435,551,228,0.524137931,no,0.413793103,no,23.684,no,1.04E-06,119,36,260,29,234,25,103
373153.SPD_0855,DEG10070052,165,165,165,1,yes,1,yes,98.788,yes,1.03E-117,842,1,165,1,165,0,164
373153.SPD_0856,DEG10540049,137,131,134,0.97810219,yes,1.022900763,yes,76.866,no,1.82E-69,519,1,131,3,136,3,118
373153.SPD_0857,DEG10580176,299,299,299,1,yes,1,yes,93.311,no,0,1485,1,299,1,299,0,291
373153.SPD_0858,DEG10140117,278,274,280,1.007194245,yes,1.02189781,yes,39.286,no,3.02E-65,519,1,273,1,274,13,167
373153.SPD_0859,DEG10070053,201,201,201,1,yes,1,yes,97.512,yes,1.36E-143,1020,1,201,1,201,0,199
373153.SPD_0860,DEG10470167,404,399,384,0.95049505,yes,0.962406015,yes,40.365,no,2.07E-89,703,5,385,3,385,4,246
373153.SPD_0861,DEG10070054,77,77,77,1,yes,1,yes,100,yes,2.15E-50,383,1,77,1,77,0,77
373153.SPD_0862,DEG10170082,790,784,772,0.97721519,yes,0.984693878,yes,45.207,no,0,1659,15,765,19,778,33,501
